"variable","mean"
"activity",NA
"tbodyaccmeany","0.274347260646063"
"tbodyaccmeanz","-0.0177434918458972"
"tbodyaccstdx","-0.108925032737064"
"tbodyaccstdy","-0.607783818968688"
"tbodyaccstdz","-0.510191378479501"
"tgravityaccmeanx","-0.61306429934125"
"tgravityaccmeany","0.669226222373046"
"tgravityaccmeanz","0.00403879092060517"
"tgravityaccstdx","0.0921508600211059"
"tgravityaccstdy","-0.965207115039421"
"tgravityaccstdz","-0.95440802665318"
"tbodyaccjerkmeanx","-0.938900969424022"
"tbodyaccjerkmeany","0.0789381220355816"
"tbodyaccjerkmeanz","0.0079481069090025"
"tbodyaccjerkstdx","-0.00467469823628666"
"tbodyaccjerkstdy","-0.63978102073413"
"tbodyaccjerkstdz","-0.607971599340832"
"tbodygyromeanx","-0.762820240449202"
"tbodygyromeany","-0.0309824871713436"
"tbodygyromeanz","-0.0747194855994359"
"tbodygyrostdx","0.088357304227173"
"tbodygyrostdy","-0.721192598029789"
"tbodygyrostdz","-0.682653506899942"
"tbodygyrojerkmeanx","-0.653665674372188"
"tbodygyrojerkmeany","-0.0967092754729682"
"tbodygyrojerkmeanz","-0.0423181079782632"
"tbodygyrojerkstdx","-0.0548303497968374"
"tbodygyrojerkstdy","-0.731348533131935"
"tbodygyrojerkstdz","-0.786062320321895"
"tbodyaccmagmean","-0.739932395222129"
"tbodyaccmagstd","-0.54822165976717"
"tgravityaccmagmean","-0.591225327146546"
"tgravityaccmagstd","-0.54822165976717"
"tbodyaccjerkmagmean","-0.591225327146546"
"tbodyaccjerkmagstd","-0.649417950650692"
"tbodygyromagmean","-0.627762945785391"
"tbodygyromagstd","-0.60524856977632"
"tbodygyrojerkmagmean","-0.662533062898382"
"tbodygyrojerkmagstd","-0.762137610987416"
"fbodyaccmeanx","-0.77799317279698"
"fbodyaccmeany","-0.622761658493734"
"fbodyaccmeanz","-0.53749328145871"
"fbodyaccstdx","-0.665033506271952"
"fbodyaccstdy","-0.603356276555826"
"fbodyaccstdz","-0.528420009576204"
"fbodyaccmeanfreqx","-0.617874813333395"
"fbodyaccmeanfreqy","-0.2214691368263"
"fbodyaccmeanfreqz","0.015400588735675"
"fbodyaccjerkmeanx","0.0473098698476722"
"fbodyaccjerkmeany","-0.656713524546605"
"fbodyaccjerkmeanz","-0.628961179980356"
"fbodyaccjerkstdx","-0.743608246170053"
"fbodyaccjerkstdy","-0.654979816705833"
"fbodyaccjerkstdz","-0.612243590244114"
"fbodyaccjerkmeanfreqx","-0.780928428167213"
"fbodyaccjerkmeanfreqy","-0.0477062917542325"
"fbodyaccjerkmeanfreqz","-0.213392904926883"
"fbodygyromeanx","-0.123828014584147"
"fbodygyromeany","-0.672094306818974"
"fbodygyromeanz","-0.70621663959074"
"fbodygyrostdx","-0.644192752866115"
"fbodygyrostdy","-0.738594816501343"
"fbodygyrostdz","-0.674226934551517"
"fbodygyromeanfreqx","-0.690446312501126"
"fbodygyromeanfreqy","-0.101042702224631"
"fbodygyromeanfreqz","-0.174277577553958"
"fbodyaccmagmean","-0.0513928953203266"
"fbodyaccmagstd","-0.585962696268539"
"fbodyaccmagmeanfreq","-0.659531216655476"
"fbodybodyaccjerkmagmean","0.0768760112631957"
"fbodybodyaccjerkmagstd","-0.620789916331592"
"fbodybodyaccjerkmagmeanfreq","-0.640076803144351"
"fbodybodygyromagmean","0.173219742700723"
"fbodybodygyromagstd","-0.697411069729937"
"fbodybodygyromagmeanfreq","-0.699976372277643"
"fbodybodygyrojerkmagmean","-0.0415636227771787"
"fbodybodygyrojerkmagstd","-0.779767633083527"
"fbodybodygyrojerkmagmeanfreq","-0.792190209274884"
"angletbodyaccmeangravity","0.126707820497791"
"angletbodyaccjerkmeangravitymean","0.00770513730366637"
"angletbodygyromeangravitymean","0.00264770963963395"
"angletbodygyrojerkmeangravitymean","0.0176831301958708"
"anglexgravitymean","-0.00921912899702262"
"angleygravitymean","-0.496522166185746"
"anglezgravitymean","0.0632551738495058"
NA,"-0.0542842821505305"
